Handle,Title,Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Image
helikontex-caphat-baseballcap-mesh,BASEBALL MESH CAP,Helikon-Tex,Color,BLACK,,,2000,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/ht-331-b.gif?v=1588747304
alpha-leatherjacket-cwu45p-black,ALPHA INDUSTRIES ____ CWU-45P BLACK,ALPHA,Color,BLACK,Size,S,43000,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/al-201-bk-b1_b096013f-fc7b-41c0-b4d0-c1feef0ef467.gif?v=1588747491
